kodemk,namamk,sks,smt,kurikulum,status_mk,kelas,tipe_mk
SIM124206,Analisis Dan Perancangan Sistem Informasi ,3,2,512.2024,A,A,0
SIM124208,Interaksi Manusia Dan Komputer,3,2,512.2024,A,A,0
MKW124202,Pancasila ,2,2,512.2024,A,A,0
MKW124201,Pendidikan Agama,2,2,512.2024,A,A,0
SIM124207,Praktikum Analisis Dan Prancangan Sistem Informasi ,1,2,512.2024,A,A,1
SIM124202,Praktikum Sistem Basisdata,1,2,512.2024,A,A,1
SIM124205,Praktikum Struktur Data,1,2,512.2024,A,A,1
SIM124201,Sistem Basisdata,2,2,512.2024,A,A,0
SIM124203,Statistika Dan Probabilitas,3,2,512.2024,A,A,0
SIM124204,Struktur Data,2,2,512.2024,A,A,0
SIM124303,Audit Sistem Informasi,3,3,512.2024,A,A,0
SIM124306,Etika Profesi Teknologi Informasi,2,3,512.2024,A,A,0
SIM124305,Jaringan Komputer,3,3,512.2024,A,A,0
SIM124311,Manajemen Risiko Sistem Informasi (Peminatan Au.1),3,3,512.2024,A,A,0
SIM124301,Pemrograman Web,2,3,512.2024,A,A,0
SIM124302,Praktikum Pemrograman Web,1,3,512.2024,A,A,1
SIM124308,Praktikum Sistem Operasi,1,3,512.2024,A,A,1
SIM124304,Sistem Informasi Manajemen,3,3,512.2024,A,A,0
SIM124307,Sistem Operasi,2,3,512.2024,A,A,0
SIM124312,Supply Chain Management (Es.1),3,3,512.2024,A,A,0
SIM124309,Transformasi Digital,2,3,512.2024,A,A,0
SIM124310,Ui/Ux Design (Peminatan Ad.1),3,3,512.2024,A,A,0
SIM124406,Arsitektur Enterprise,3,4,512.2024,A,A,0
SIM124402,Keamanan Jaringan,3,4,512.2024,A,A,0
SIM124407,Manajemen Layanan Ti (Peminatan Au.2),3,4,512.2024,A,A,0
SIM124401,Manajemen Proyek Sistem Informasi,3,4,512.2024,A,A,0
SIM124403,Metode Penelitian,3,4,512.2024,A,A,0
SIM124409,Pemrograman Aplikasi Bergerak (Peminatan Ad.2),2,4,512.2024,A,A,0
SIM124404,Pemrograman Berorientasi Objek,2,4,512.2024,A,A,0
MKW124404,Pendidikan Bela Negara,2,4,512.2024,A,A,0
SIM124410,Praktikum Pemrograman Aplikasi Bergerak (Peminatan Ad.2),1,4,512.2024,A,A,1
SIM124405,Praktikum Pemrograman Berorientasi Objek,1,4,512.2024,A,A,1
SIM124408,Sistem ERP (Es.2),3,4,512.2024,A,A,0
SIM124503,Big Data,2,5,512.2024,A,A,0
SIM124507,Cloud Computing (Peminatan Ad.3),3,5,512.2024,A,A,0
KOM124517,Communication Network and Big Data,3,5,512.2024,A,A,0
SIM124505,Computer Assisted Audit Tools (Peminatan Au.3),3,5,512.2024,A,A,0
SIM124506,Customer Relationship Management (Es.3),3,5,512.2024,A,A,0
POL124501,Cyber Politik dan Media Baru,3,5,512.2024,A,A,0
HKM124719,Hak Kekayaan Intelektual,3,5,512.2024,A,A,0
INF124406,Kecerdasan Buatan,3,5,512.2024,A,A,0
MNJ124305,Manajemen Resiko,3,5,512.2024,A,A,0
SIMMBKM03,MBKM Magang/Studi Independent,17,5,512.2024,A,A,0
SIM124504,Praktikum Big Data,1,5,512.2024,A,A,1
SIM124502,Sistem Pendukung Keputusan,3,5,512.2024,A,A,0
SIM124501,Technopreneurship,2,5,512.2024,A,A,0
MKU124603,Bahasa Indonesia,2,6,512.2024,A,A,0
SIM124612,Blockchain,3,6,512.2024,A,A,0
SIM124610,Business Intelligence,3,6,512.2024,A,A,0
SIM124604,Data Mining And Data Warehouse,3,6,512.2024,A,A,0
SIM124602,Diseminasi Kerja Praktik,1,6,512.2024,A,A,0
MKU124606,Filsafat Ilmu Dan Logika,2,6,512.2024,A,A,0
SIM124611,Financial Technology,3,6,512.2024,A,A,0
SIM124605,Internet Of Thing (Iot),3,6,512.2024,A,A,0
MKU124605,Kepemimpinan ,2,6,512.2024,A,A,0
SIM124601,Kerja Praktik ,2,6,512.2024,A,A,0
MKU124607,Kewarganegaraan,2,6,512.2024,A,A,0
SIM124607,Knowlegde Management,3,6,512.2024,A,A,0
SIM124603,Manajemen Proses Bisnis ,3,6,512.2024,A,A,0
SIM124606,Sistem Multimedia ,3,6,512.2024,A,A,0
SIM124608,Sistem Rekomendasi ,3,6,512.2024,A,A,0
SIM124609,Startup Digital,3,6,512.2024,A,A,0
SIM124714,Ai Computing Platform,3,7,512.2024,A,A,0
SIM124713,Analisis Jejaring Sosial,3,7,512.2024,A,A,0
SIM124706,Analitik Dan Visualisasi Data,3,7,512.2024,A,A,0
SIM124709,Communication Skill,3,7,512.2024,A,A,0
SIM124704,Computational Thinking,2,7,512.2024,A,A,0
SIM124727,Computer Ethical Hacking ,3,7,512.2024,A,A,0
SIM124717,Data Cleansing,3,7,512.2024,A,A,0
SIM124723,Data Engineering,3,7,512.2024,A,A,0
SIM124721,Data Science,3,7,512.2024,A,A,0
SIM124720,Digital Design,3,7,512.2024,A,A,0
SIM124726,Digital Forensik,3,7,512.2024,A,A,0
SIM124722,E-Business ,3,7,512.2024,A,A,0
SIM124710,Fundamental Erp,3,7,512.2024,A,A,0
SIM124711,Human Resource Management,3,7,512.2024,A,A,0
SIM124701,Keamanan Sistem Informasi,3,7,512.2024,A,A,0
SIM124724,Kecerdasan Bisnis,3,7,512.2024,A,A,0
SIM124728,Kerja Tim,1,7,512.2024,A,A,0
SIM124708,Komunikasi Dan Negosiasi,3,7,512.2024,A,A,0
SIM124707,Machine Learning,3,7,512.2024,A,A,0
SIM124725,Manajemen Data,3,7,512.2024,A,A,0
SIM124718,Predictive Analytic ,3,7,512.2024,A,A,0
SIM124705,Proposal,2,7,512.2024,A,A,0
SIM124702,Proyek Sistem Aplikasi (Capstone Project),3,7,512.2024,A,A,0
SIM124716,Sistem Basis Data Berorientasi Objek,3,7,512.2024,A,A,0
SIM124715,Sistem Basis Data Terdistribusi,3,7,512.2024,A,A,0
SIM124719,Sistem Informasi Geografis,3,7,512.2024,A,A,0
SIM124703,Software Testing Dan Quality Assurance,2,7,512.2024,A,A,0
SIM124712,Teknologi Ar/Vr,2,7,512.2024,A,A,0
SIM124801,Tugas Akhir,4,8,512.2024,A,A,0
